Time:28.58623 Axis vector:(0.3, -0.6) Thumbrotation:155.9
Time:28.68673 Axis vector:(0.3, -0.6) Thumbrotation:156.0167
Time:28.78729 Axis vector:(0.3, -0.6) Thumbrotation:156.1252
Time:28.88759 Axis vector:(0.3, -0.6) Thumbrotation:156.2804
Time:28.98839 Axis vector:(0.3, -0.6) Thumbrotation:156.3816
Time:29.08879 Axis vector:(0.3, -0.6) Thumbrotation:156.5355
Time:29.18935 Axis vector:(0.2, -0.6) Thumbrotation:158.201
Time:29.2898 Axis vector:(0.1, -0.7) Thumbrotation:169.7105
Time:29.39028 Axis vector:(0.0, -0.7) Thumbrotation:-178.9376
Time:29.4912 Axis vector:(-0.1, -0.7) Thumbrotation:-172.8199
Time:29.5914 Axis vector:(-0.2, -0.7) Thumbrotation:-166.678
Time:29.6921 Axis vector:(-0.3, -0.7) Thumbrotation:-157.697
Time:29.79254 Axis vector:(-0.4, -0.7) Thumbrotation:-151.5978
Time:29.89306 Axis vector:(-0.4, -0.6) Thumbrotation:-144.5735
Time:29.99379 Axis vector:(-0.5, -0.5) Thumbrotation:-135.8013
Time:30.09427 Axis vector:(-0.5, -0.5) Thumbrotation:-134.1978
Time:30.19446 Axis vector:(-0.5, -0.5) Thumbrotation:-134.0626
Time:30.2956 Axis vector:(-0.5, -0.5) Thumbrotation:-134.0316
Time:30.39572 Axis vector:(-0.5, -0.5) Thumbrotation:-134.0205
Time:30.49611 Axis vector:(-0.5, -0.5) Thumbrotation:-134.0186
Time:30.59677 Axis vector:(-0.5, -0.5) Thumbrotation:-134.0313
Time:30.69728 Axis vector:(-0.5, -0.5) Thumbrotation:-134.0397
Time:30.79821 Axis vector:(-0.5, -0.5) Thumbrotation:-134.0471
Time:30.89867 Axis vector:(-0.5, -0.5) Thumbrotation:-134.0551
Time:31.00196 Axis vector:(-0.5, -0.5) Thumbrotation:-134.0627
Time:31.1105 Axis vector:(-0.5, -0.5) Thumbrotation:-134.0987
Time:31.21112 Axis vector:(-0.5, -0.5) Thumbrotation:-134.1944
Time:31.31157 Axis vector:(-0.5, -0.5) Thumbrotation:-134.3349
