Start time:0.1206922
Time:70.70484 Axis vector:(0.2, 0.6) Thumbrotation:15.53815
Time:70.80563 Axis vector:(0.2, 0.7) Thumbrotation:15.78057
Time:70.90585 Axis vector:(0.2, 0.7) Thumbrotation:15.80877
Time:71.00652 Axis vector:(0.2, 0.7) Thumbrotation:15.81226
Time:71.10697 Axis vector:(0.2, 0.7) Thumbrotation:15.81229
Time:71.20745 Axis vector:(0.2, 0.7) Thumbrotation:14.76942
Time:71.30835 Axis vector:(0.2, 0.7) Thumbrotation:13.24578
Time:71.4085 Axis vector:(0.2, 0.7) Thumbrotation:13.32356
Time:71.50926 Axis vector:(0.2, 0.7) Thumbrotation:13.92411
Time:71.6097 Axis vector:(0.2, 0.7) Thumbrotation:14.7163
Time:71.71017 Axis vector:(0.2, 0.7) Thumbrotation:15.50791
Time:71.81073 Axis vector:(0.2, 0.7) Thumbrotation:15.89633
Time:71.91139 Axis vector:(0.2, 0.7) Thumbrotation:16.08564
Time:72.01206 Axis vector:(0.2, 0.7) Thumbrotation:16.18151
Time:72.11288 Axis vector:(0.2, 0.7) Thumbrotation:16.22692
Time:72.22391 Axis vector:(0.2, 0.6) Thumbrotation:16.84997
Time:73.93298 Axis vector:(0.4, 0.6) Thumbrotation:36.68822
Time:74.03359 Axis vector:(0.3, 0.6) Thumbrotation:27.4858
Time:74.13396 Axis vector:(0.3, 0.7) Thumbrotation:24.15346
