Start time:0.3071694
Time:63.19133 Axis vector:(-0.1, 0.5) Thumbrotation:-14.43265
Time:63.33006 Axis vector:(-0.1, 0.6) Thumbrotation:-14.55379
Time:63.43508 Axis vector:(-0.1, 0.6) Thumbrotation:-14.5806
Time:63.6496 Axis vector:(-0.1, 0.6) Thumbrotation:-14.25293
Time:63.77673 Axis vector:(-0.1, 0.5) Thumbrotation:-13.87637
Time:63.90666 Axis vector:(-0.1, 0.6) Thumbrotation:-14.49605
Time:64.02966 Axis vector:(-0.1, 0.6) Thumbrotation:-14.98036
Time:64.13341 Axis vector:(-0.2, 0.5) Thumbrotation:-15.39012
Time:64.24895 Axis vector:(-0.2, 0.5) Thumbrotation:-15.57914
Time:64.37626 Axis vector:(-0.2, 0.5) Thumbrotation:-15.74213
Time:64.49955 Axis vector:(-0.2, 0.5) Thumbrotation:-16.12045
Time:64.60506 Axis vector:(-0.2, 0.5) Thumbrotation:-15.95526
Time:64.79348 Axis vector:(-0.2, 0.5) Thumbrotation:-16.25532
Time:64.95306 Axis vector:(-0.2, 0.5) Thumbrotation:-16.69481
Time:65.11314 Axis vector:(-0.2, 0.5) Thumbrotation:-16.84852
Time:65.30005 Axis vector:(-0.2, 0.5) Thumbrotation:-15.64097
Time:65.40851 Axis vector:(-0.1, 0.5) Thumbrotation:-14.74385
Time:65.61005 Axis vector:(-0.1, 0.5) Thumbrotation:-13.14065
Time:65.7187 Axis vector:(-0.1, 0.5) Thumbrotation:-15.16806
Time:65.83313 Axis vector:(-0.2, 0.5) Thumbrotation:-20.20473
Time:67.53423 Axis vector:(-0.3, 0.7) Thumbrotation:-22.45966
Time:67.64614 Axis vector:(-0.2, 0.7) Thumbrotation:-20.29177
Time:67.7578 Axis vector:(-0.2, 0.6) Thumbrotation:-21.16973
Time:67.94265 Axis vector:(-0.3, 0.7) Thumbrotation:-21.74381
Time:68.062 Axis vector:(-0.3, 0.7) Thumbrotation:-21.55768
Time:68.17423 Axis vector:(-0.3, 0.8) Thumbrotation:-22.19827
Time:68.28392 Axis vector:(-0.3, 0.8) Thumbrotation:-22.98921
Time:73.97042 Axis vector:(-0.7, 0.5) Thumbrotation:-57.40352
Time:74.12994 Axis vector:(-0.4, 0.5) Thumbrotation:-41.97589
Time:74.30217 Axis vector:(-0.4, 0.5) Thumbrotation:-39.71482
Time:74.48433 Axis vector:(-0.3, 0.4) Thumbrotation:-39.48971
Time:74.60294 Axis vector:(-0.3, 0.4) Thumbrotation:-38.43679
Time:74.72446 Axis vector:(-0.3, 0.4) Thumbrotation:-36.36277
Time:74.84103 Axis vector:(-0.3, 0.4) Thumbrotation:-35.78801
Time:74.95013 Axis vector:(-0.2, 0.3) Thumbrotation:-35.33385
Time:75.1356 Axis vector:(-0.2, 0.3) Thumbrotation:-35.34159
Time:75.29769 Axis vector:(-0.2, 0.3) Thumbrotation:-35.15055
Time:75.49283 Axis vector:(-0.2, 0.3) Thumbrotation:-34.99269
Time:75.59765 Axis vector:(-0.2, 0.3) Thumbrotation:-34.97341
Time:75.71435 Axis vector:(-0.2, 0.3) Thumbrotation:-34.96654
Time:75.81758 Axis vector:(-0.2, 0.3) Thumbrotation:-34.96925
