Start time:0.1739149
Time:38.45458 Axis vector:(-0.8, 0.6) Thumbrotation:-51.69468
Time:38.55496 Axis vector:(-0.8, 0.6) Thumbrotation:-51.69022
Time:38.65564 Axis vector:(-0.8, 0.6) Thumbrotation:-51.74044
Time:38.75608 Axis vector:(-0.8, 0.6) Thumbrotation:-51.98916
Time:38.85669 Axis vector:(-0.8, 0.6) Thumbrotation:-52.3269
Time:38.95709 Axis vector:(-0.8, 0.6) Thumbrotation:-52.7887
Time:39.05783 Axis vector:(-0.8, 0.6) Thumbrotation:-52.8217
Time:39.15834 Axis vector:(-0.8, 0.6) Thumbrotation:-52.85765
Time:39.25864 Axis vector:(-0.8, 0.6) Thumbrotation:-53.25534
Time:39.35918 Axis vector:(-0.8, 0.6) Thumbrotation:-53.71298
Time:39.45987 Axis vector:(-0.8, 0.6) Thumbrotation:-54.35353
Time:39.56039 Axis vector:(-0.8, 0.6) Thumbrotation:-54.82896
Time:39.66077 Axis vector:(-0.8, 0.6) Thumbrotation:-55.09397
Time:39.76142 Axis vector:(-0.8, 0.6) Thumbrotation:-55.28842
Time:39.86192 Axis vector:(-0.8, 0.6) Thumbrotation:-55.46694
Time:39.96228 Axis vector:(-0.8, 0.6) Thumbrotation:-55.56264
Time:41.67152 Axis vector:(0.0, 0.6) Thumbrotation:2.645453
Time:41.77203 Axis vector:(0.0, 0.6) Thumbrotation:1.958747
Time:41.87239 Axis vector:(0.0, 0.6) Thumbrotation:0.4588492
Time:41.97301 Axis vector:(0.0, 0.6) Thumbrotation:-0.1724585
Time:42.07383 Axis vector:(0.0, 0.5) Thumbrotation:3.00635
Time:42.17402 Axis vector:(0.0, 0.4) Thumbrotation:6.017801
Time:42.27444 Axis vector:(0.1, 0.4) Thumbrotation:7.380068
Time:42.37496 Axis vector:(0.1, 0.4) Thumbrotation:7.855254
Time:42.47563 Axis vector:(0.1, 0.4) Thumbrotation:8.096843
Time:42.57607 Axis vector:(0.1, 0.4) Thumbrotation:8.215302
Time:42.67677 Axis vector:(0.1, 0.4) Thumbrotation:8.261869
