Start time:0.2050475
Start time:0.1293009
Start time:0.2259058
Start time:0.1436359
Time:12.39786 Axis vector:(-0.1, 1.0) Thumbrotation:-7.081887
Time:12.49813 Axis vector:(-0.1, 1.0) Thumbrotation:-7.189383
Time:12.59885 Axis vector:(-0.1, 1.0) Thumbrotation:-7.2499
Time:12.69915 Axis vector:(-0.1, 1.0) Thumbrotation:-7.258365
Time:12.79972 Axis vector:(-0.1, 1.0) Thumbrotation:-7.266201
Time:12.90065 Axis vector:(-0.1, 1.0) Thumbrotation:-7.266201
Time:13.00081 Axis vector:(-0.1, 1.0) Thumbrotation:-7.296433
Time:13.10121 Axis vector:(-0.1, 1.0) Thumbrotation:-7.321961
Time:13.2018 Axis vector:(-0.1, 1.0) Thumbrotation:-7.333099
Time:13.3023 Axis vector:(-0.1, 1.0) Thumbrotation:-7.329888
Time:13.4028 Axis vector:(-0.1, 1.0) Thumbrotation:-7.329246
